noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A1,MM,18.1,88,77,82,9.56,0,0
A2,LMB,15.1,58,46,52,3.21,0,0
A3,BNS,16.2,83,69,76,6.76,19,8
A4,MP,18,64,52,58,4.76,0,0
A5,BNS,18.8,86,66,76,8.05,16,5.6
A6,BNS,14.8,56,46,51,3.02,0,0
A7,MM,19.8,72,55,63,5.89,12,4.6
A8,MB,13.5,56,50,53,2.98,0,0
A9,MM,17.7,66,48,57,4.52,0,0
A10,MM,19.7,59,49,54,4.51,0,0
A11,KR,16.4,60,39,49,3.09,0,0
A12,MB,13.3,70,57,63,4.15,0,0
A13,MM,17,66,51,58,4.49,0,0
A14,KR,17.8,66,46,56,4.38,0,0
A15,KR,13.5,55,45,50,2.65,0,0
A16,MM,14.2,58,49,53,3.13,0,0
A17,MB,18.2,92,86,89,11.32,0,0
A18,MM,15.6,67,53,60,4.41,0,0
A19,MM,16,60,46,53,3.53,0,0
A20,MM,10.6,65,54,59,2.79,10,3.7
A21,BNS,12.3,81,69,75,5.43,0,0
A22,BNS,10.6,90,81,85,6.01,0,0
A23,KR,19,90,66,78,9.08,0,0
A24,KR,17.4,60,43,51,3.55,0,0
A25,KR,20.9,55,42,48,3.78,0,0
A26,KR,19.5,57,38,47,3.38,0,0
A27,MM,8.8,74,64,69,3.29,0,0
A28,BNS,20,73,53,63,6.23,0,0
A29,MM,17.7,62,47,54,4.05,0,0
A30,MK,17.7,63,51,57,4.52,0,0
A31,MM,11.2,52,43,47,1.94,0,0
A32,MM,19.1,59,42,50,3.75,0,0
A33,MM,18.7,88,66,77,8.71,0,0
A34,BNS,15.4,69,54,61,4.5,0,0
A35,MM,18.3,77,64,70,7.04,0,0
A36,MK,17.2,58,44,51,3.51,0,0
A37,MM,16.8,71,44,57,4.29,0,0
A38,MM,11,56,43,49,2.07,0,0
A39,KR,12.9,88,85,86,7.49,0,0
A40,KR,18.6,75,54,64,5.98,0,0
A41,KR,12.8,88,66,77,5.96,0,0
A42,MRS,10.1,77,75,76,4.58,0,0
A43,MRS,11.5,88,76,82,6.07,0,0
A44,MK,13.9,56,54,55,3.3,0,0
A45,MM,19.3,56,42,49,3.64,0,0
A46,MM,19.2,67,49,58,5.07,0,0
A47,BNS,18.5,54,40,47,3.21,0,0
A48,KR,15.7,74,57,65,5.21,0,0
A49,BNS,10.1,90,81,85,5.1,25,11
A50,KR,18.7,86,67,76,8.48,0,0
A51,BNS,18.6,75,59,67,5.4,25,17.7
A52,KR,19.8,63,50,56,4.88,0,0
A53,MM,16.8,65,50,57,4.29,0,0
A54,MK,18.6,63,50,56,4.58,0,0
A55,MK,13.1,65,51,58,3.46,0,0
A56,MM,13,77,66,71,5.15,0,0
A57,MP,17.5,75,64,69,6.54,0,0
A58,MM,14.8,107,91,99,11.11,14,2.5
A59,MM,14.8,72,64,68,5.37,0,0
A60,MM,14.5,79,73,76,6.58,0,0
A61,MM,17.9,75,70,72,7.29,0,0
A62,MK,12,67,58,62,3.62,0,0
A63,KR,14.6,64,49,56,3.6,0,0
A64,MRS,11.1,71,58,64,3.57,0,0
A65,MM,19.9,70,57,63,6.2,0,0
A66,MM,22.6,65,47,56,5.57,0,0
A67,MM,16,65,56,60,4.52,0,0
A68,MB,15.4,75,67,71,6.1,0,0
A69,MP,13.3,57,53,55,3.16,0,0
A70,BNS,16.6,79,63,71,6.57,0,0
A71,MB,18.8,66,47,56,4.63,0,0
A72,MM,12.4,58,47,52,2.63,0,0
A73,BNS,15.6,60,48,54,3.57,0,0
A74,MM,17.4,68,56,62,5.25,0,0
A75,MM,17.1,56,43,49,3.22,0,0
A76,KR,19.2,71,58,64,6.18,0,0
A77,MM,17.7,79,64,71,7.01,0,0
A78,MB,10.6,72,67,69,3.96,0,0
A79,BNS,19.1,71,54,62,5.77,0,0
A80,MP,13.8,70,58,64,3.89,20,12.4
A81,MM,14.3,81,63,72,5.82,0,0
A82,BNS,20.9,57,45,51,4.27,0,0
A83,MM,21.6,58,49,53,4.77,0,0
A84,MM,16.1,77,60,68,5.85,0,0
A85,MK,18.1,52,37,44,2.75,0,0
A86,BNS,18.4,80,69,74,7.91,0,0
A87,LMB,19.4,47,41,44,2.95,0,0
A88,BNS,16.4,59,43,51,3.35,0,0
A89,MM,15.4,51,41,46,2.56,0,0
A90,MB,11.1,78,72,75,4.9,0,0
A91,MB,16.4,66,51,58,4.33,0,0
A92,KR,18,74,62,68,6.54,0,0
A93,LMB,15.5,65,53,59,4.24,0,0
A94,MM,17.3,70,64,67,5.93,10,2.8
A95,MB,17.5,72,55,63,5.46,0,0
A96,MRS,18.1,68,53,60,5.12,0,0
A97,KR,21,72,43,57,5.36,0,0
A98,MM,11.6,56,48,52,2.46,0,0
A99,LMB,14.1,56,44,50,2.77,0,0
A100,BNS,18.3,56,44,50,3.28,13,8.6
A101,KR,18.4,85,68,76,8.35,0,0
A102,MM,13.4,51,43,47,2.32,0,0
A103,BNS,19.7,70,50,60,5.57,0,0
A104,BNS,15.4,81,64,72,6.27,0,0
A105,KR,13.9,76,64,70,5.35,0,0
A106,MM,16.5,63,49,56,3.78,13,6.9
A107,KR,19,62,50,56,4.31,14,8
